"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 28 16:26:09 CST 2024","Sun Jul 28 16:26:09 CST 2024","334","testcase","test_login","TestRequest","","","test_login[args_name1]",""
"passed","Sun Jul 28 16:26:09 CST 2024","Sun Jul 28 16:26:09 CST 2024","345","testcase","test_login","TestRequest","","","test_login[args_name0]",""
"broken","Sun Jul 28 16:26:09 CST 2024","Sun Jul 28 16:26:09 CST 2024","0","testcase","test_business","TestPlan","","","test_planList",""
